content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
kayaknya kali verifikasi ktp berhasil jelasãâ ktp asli milikku,kayaknya kali verifikasi ktp berhasil jelas ktp asli milikku,kayaknya kali verifikasi ktp berhasil jelas ktp asli milikku,"['kayaknya', 'kali', 'verifikasi', 'ktp', 'berhasil', 'jelas', 'ktp', 'asli', 'milikku']","['kayaknya', 'kali', 'verifikasi', 'ktp', 'berhasil', 'jelas', 'ktp', 'asli', 'milikku']"
pelanggaran kasihan sellerãåëœå,pelanggaran kasihan seller,pelanggaran kasihan seller,"['pelanggaran', 'kasihan', 'seller']","['pelanggaran', 'kasihan', 'seller']"
buruk seller pencairan penyelesaian ribu seller jualan cari nafkah sedekah goblok jualan untung buntung,buruk seller pencairan penyelesaian ribu seller jualan cari nafkah sedekah goblok jualan untung buntung,buruk seller pencairan penyelesaian ribu seller jualan cari nafkah sedekah goblok jualan untung buntung,"['buruk', 'seller', 'pencairan', 'penyelesaian', 'ribu', 'seller', 'jualan', 'cari', 'nafkah', 'sedekah', 'goblok', 'jualan', 'untung', 'buntung']","['buruk', 'seller', 'pencairan', 'penyelesaian', 'ribu', 'seller', 'jualan', 'cari', 'nafkah', 'sedekah', 'goblok', 'jualan', 'untung', 'buntung']"
jelek,jelek,jelek,['jelek'],['jelek']
verifikasi susah giliran selesai verifikasi terindikasi memakai data palsu dinonaktifkan ajukan banding tiket respon kesalahan main ban pemberitahuan salahnya solusinya produk palsu affiliate tuh bantu memasarkan palsu ya loloskan rating terindikasi produk palsu heran nih aplikasi,verifikasi susah giliran selesai verifikasi terindikasi memakai data palsu dinonaktifkan ajukan banding tiket respon kesalahan main ban pemberitahuan salahnya solusinya produk palsu affiliate tuh bantu memasarkan palsu ya loloskan rating terindikasi produk palsu heran nih aplikasi,verifikasi susah giliran selesai verifikasi terindikasi memakai data palsu dinonaktifkan ajukan banding tiket respon kesalahan main ban pemberitahuan salahnya solusinya produk palsu affiliate tuh bantu memasarkan palsu ya loloskan rating terindikasi produk palsu heran nih aplikasi,"['verifikasi', 'susah', 'giliran', 'selesai', 'verifikasi', 'terindikasi', 'memakai', 'data', 'palsu', 'dinonaktifkan', 'ajukan', 'banding', 'tiket', 'respon', 'kesalahan', 'main', 'ban', 'pemberitahuan', 'salahnya', 'solusinya', 'produk', 'palsu', 'affiliate', 'tuh', 'bantu', 'memasarkan', 'palsu', 'ya', 'loloskan', 'rating', 'terindikasi', 'produk', 'palsu', 'heran', 'nih', 'aplikasi']","['verifikasi', 'susah', 'giliran', 'selesai', 'verifikasi', 'terindikasi', 'memakai', 'data', 'palsu', 'dinonaktifkan', 'ajukan', 'banding', 'tiket', 'respon', 'kesalahan', 'main', 'ban', 'pemberitahuan', 'salahnya', 'solusinya', 'produk', 'palsu', 'affiliate', 'tuh', 'bantu', 'memasarkan', 'palsu', 'loloskan', 'rating', 'terindikasi', 'produk', 'palsu', 'heran', 'nih', 'aplikasi']"
perbaiki sistem makan seller,perbaiki sistem makan seller,perbaiki sistem makan seller,"['perbaiki', 'sistem', 'makan', 'seller']","['perbaiki', 'sistem', 'makan', 'seller']"
mudah pelangaran non aktifkan akun belajarlah aplikasi biar berkembang,mudah pelangaran non aktifkan akun belajarlah aplikasi biar berkembang,mudah pelangaran non aktifkan akun belajarlah aplikasi biar berkembang,"['mudah', 'pelangaran', 'non', 'aktifkan', 'akun', 'belajarlah', 'aplikasi', 'biar', 'berkembang']","['mudah', 'pelangaran', 'non', 'aktifkan', 'akun', 'belajarlah', 'aplikasi', 'biar', 'berkembang']"
peraturan kasih pelanggaran masuk akal,peraturan kasih pelanggaran masuk akal,peraturan kasih pelanggaran masuk akal,"['peraturan', 'kasih', 'pelanggaran', 'masuk', 'akal']","['peraturan', 'kasih', 'pelanggaran', 'masuk', 'akal']"
management tiktok tolong dipertimbangkan kebijakan berat sebelah kebijakan seller buyer,management tiktok tolong dipertimbangkan kebijakan berat sebelah kebijakan seller buyer,management tiktok tolong dipertimbangkan kebijakan berat sebelah kebijakan seller buyer,"['management', 'tiktok', 'tolong', 'dipertimbangkan', 'kebijakan', 'berat', 'sebelah', 'kebijakan', 'seller', 'buyer']","['management', 'tiktok', 'dipertimbangkan', 'kebijakan', 'berat', 'sebelah', 'kebijakan', 'seller', 'buyer']"
pelanggaran,pelanggaran,pelanggaran,['pelanggaran'],['pelanggaran']
aplikasi mengaco bikin seller merugi,aplikasi mengaco bikin seller merugi,aplikasi mengaco bikin seller merugi,"['aplikasi', 'mengaco', 'bikin', 'seller', 'merugi']","['aplikasi', 'mengaco', 'bikin', 'seller', 'merugi']"
capai akun rekomendasikan boost live konten lirik creator akun dikasih traffic organik sensi pelanggaran pelanggaran konsisten live dikasih traffic organik boro boro cowok menonton orang tolong perbaiki sistem algoritma buang buang live anjing,capai akun rekomendasikan boost live konten lirik creator akun dikasih traffic organik sensi pelanggaran pelanggaran konsisten live dikasih traffic organik boro boro cowok menonton orang tolong perbaiki sistem algoritma buang buang live anjing,capai akun rekomendasikan boost live konten lirik creator akun dikasih traffic organik sensi pelanggaran pelanggaran konsisten live dikasih traffic organik boro boro cowok menonton orang tolong perbaiki sistem algoritma buang buang live anjing,"['capai', 'akun', 'rekomendasikan', 'boost', 'live', 'konten', 'lirik', 'creator', 'akun', 'dikasih', 'traffic', 'organik', 'sensi', 'pelanggaran', 'pelanggaran', 'konsisten', 'live', 'dikasih', 'traffic', 'organik', 'boro', 'boro', 'cowok', 'menonton', 'orang', 'tolong', 'perbaiki', 'sistem', 'algoritma', 'buang', 'buang', 'live', 'anjing']","['capai', 'akun', 'rekomendasikan', 'boost', 'live', 'konten', 'lirik', 'creator', 'akun', 'dikasih', 'traffic', 'organik', 'sensi', 'pelanggaran', 'pelanggaran', 'konsisten', 'live', 'dikasih', 'traffic', 'organik', 'boro', 'boro', 'cowok', 'menonton', 'orang', 'perbaiki', 'sistem', 'algoritma', 'buang', 'buang', 'live', 'anjing']"
pelanggaran pelanggaran pelanggaran nilai produk bagus produk bekukan garaãâ penilaian negatif admin tiktok membedakan toko benarbenar amanah nipu produk terjual tauãâ produk bekukan toko jiga bekukan tolong pelanggaran tolong perbaiki sistemnya kasih pelanggaran lihatãâ,pelanggaran pelanggaran pelanggaran nilai produk bagus produk bekukan gara penilaian negatif admin tiktok membedakan toko benarbenar amanah nipu produk terjual tau produk bekukan toko jiga bekukan tolong pelanggaran tolong perbaiki sistemnya kasih pelanggaran lihat,pelanggaran pelanggaran pelanggaran nilai produk bagus produk bekukan gara penilaian negatif admin tiktok membedakan toko benarbenar amanah nipu produk terjual tahu produk bekukan toko jiga bekukan tolong pelanggaran tolong perbaiki sistemnya kasih pelanggaran lihat,"['pelanggaran', 'pelanggaran', 'pelanggaran', 'nilai', 'produk', 'bagus', 'produk', 'bekukan', 'gara', 'penilaian', 'negatif', 'admin', 'tiktok', 'membedakan', 'toko', 'benarbenar', 'amanah', 'nipu', 'produk', 'terjual', 'tahu', 'produk', 'bekukan', 'toko', 'jiga', 'bekukan', 'tolong', 'pelanggaran', 'tolong', 'perbaiki', 'sistemnya', 'kasih', 'pelanggaran', 'lihat']","['pelanggaran', 'pelanggaran', 'pelanggaran', 'nilai', 'produk', 'bagus', 'produk', 'bekukan', 'gara', 'penilaian', 'negatif', 'admin', 'tiktok', 'membedakan', 'toko', 'benarbenar', 'amanah', 'nipu', 'produk', 'terjual', 'tahu', 'produk', 'bekukan', 'toko', 'jiga', 'bekukan', 'pelanggaran', 'perbaiki', 'sistemnya', 'kasih', 'pelanggaran', 'lihat']"
jelek peraturannya mencekik seller benarbenar merugikan orang,jelek peraturannya mencekik seller benarbenar merugikan orang,jelek peraturannya mencekik seller benarbenar merugikan orang,"['jelek', 'peraturannya', 'mencekik', 'seller', 'benarbenar', 'merugikan', 'orang']","['jelek', 'peraturannya', 'mencekik', 'seller', 'benarbenar', 'merugikan', 'orang']"
ribet,ribet,ribet,['ribet'],['ribet']
sistem perbaiki masak live asli tuduh live rekaman sistem aplikasi jualan sistem seburuk,sistem perbaiki masak live asli tuduh live rekaman sistem aplikasi jualan sistem seburuk,sistem perbaiki masak live asli tuduh live rekaman sistem aplikasi jualan sistem seburuk,"['sistem', 'perbaiki', 'masak', 'live', 'asli', 'tuduh', 'live', 'rekaman', 'sistem', 'aplikasi', 'jualan', 'sistem', 'seburuk']","['sistem', 'perbaiki', 'masak', 'live', 'asli', 'tuduh', 'live', 'rekaman', 'sistem', 'aplikasi', 'jualan', 'sistem', 'seburuk']"
pelanggaran ampun,pelanggaran ampun,pelanggaran ampun,"['pelanggaran', 'ampun']","['pelanggaran', 'ampun']"
dikitdikit pelanggaran memegang sistem both,dikitdikit pelanggaran memegang sistem both,dikitdikit pelanggaran memegang sistem both,"['dikitdikit', 'pelanggaran', 'memegang', 'sistem', 'both']","['dikitdikit', 'pelanggaran', 'memegang', 'sistem', 'both']"
seller kena pointsy mengerti pelanggarankebijakan rumit kena pelanggaran jelasãåâë dibanding ditanggapi ribet bgttrs pembeli retur brgnolak kena point ãåâë giliran produk kena pelanggaran produk palsupdhl dicantumkan originalseharusnya dikasih detail letak kesalahannyaini langsung diblok merugikan seller,seller kena pointsy mengerti pelanggarankebijakan rumit kena pelanggaran jelas dibanding ditanggapi ribet bgttrs pembeli retur brgnolak kena point giliran produk kena pelanggaran produk palsupdhl dicantumkan originalseharusnya dikasih detail letak kesalahannyaini langsung diblok merugikan seller,seller kena pointsy mengerti pelanggarankebijakan rumit kena pelanggaran jelas dibanding ditanggapi ribet bgttrs pembeli retur brgnolak kena point giliran produk kena pelanggaran produk palsupdhl dicantumkan originalseharusnya dikasih detail letak kesalahannyaini langsung diblok merugikan seller,"['seller', 'kena', 'pointsy', 'mengerti', 'pelanggarankebijakan', 'rumit', 'kena', 'pelanggaran', 'jelas', 'dibanding', 'ditanggapi', 'ribet', 'bgttrs', 'pembeli', 'retur', 'brgnolak', 'kena', 'point', 'giliran', 'produk', 'kena', 'pelanggaran', 'produk', 'palsupdhl', 'dicantumkan', 'originalseharusnya', 'dikasih', 'detail', 'letak', 'kesalahannyaini', 'langsung', 'diblok', 'merugikan', 'seller']","['seller', 'kena', 'pointsy', 'mengerti', 'pelanggarankebijakan', 'rumit', 'kena', 'pelanggaran', 'jelas', 'dibanding', 'ditanggapi', 'ribet', 'bgttrs', 'pembeli', 'retur', 'brgnolak', 'kena', 'point', 'giliran', 'produk', 'kena', 'pelanggaran', 'produk', 'palsupdhl', 'dicantumkan', 'originalseharusnya', 'dikasih', 'detail', 'letak', 'kesalahannyaini', 'langsung', 'diblok', 'merugikan', 'seller']"
mohon tiktokjangan membebankan seller aturannya pencairan sistemnya rubah contoh paketnya konsumencairkan langsung penjual seller jugajangan tunda jangka seller penjual butuh uang modal pesanan semoga saran langsung rubah aturannya terima kasih,mohon tiktokjangan membebankan seller aturannya pencairan sistemnya rubah contoh paketnya konsumencairkan langsung penjual seller jugajangan tunda jangka seller penjual butuh uang modal pesanan semoga saran langsung rubah aturannya terima kasih,mohon tiktokjangan membebankan seller aturannya pencairan sistemnya rubah contoh paketnya konsumencairkan langsung penjual seller jugajangan tunda jangka seller penjual butuh uang modal pesanan semoga saran langsung rubah aturannya terima kasih,"['mohon', 'tiktokjangan', 'membebankan', 'seller', 'aturannya', 'pencairan', 'sistemnya', 'rubah', 'contoh', 'paketnya', 'konsumencairkan', 'langsung', 'penjual', 'seller', 'jugajangan', 'tunda', 'jangka', 'seller', 'penjual', 'butuh', 'uang', 'modal', 'pesanan', 'semoga', 'saran', 'langsung', 'rubah', 'aturannya', 'terima', 'kasih']","['mohon', 'tiktokjangan', 'membebankan', 'seller', 'aturannya', 'pencairan', 'sistemnya', 'rubah', 'contoh', 'paketnya', 'konsumencairkan', 'langsung', 'penjual', 'seller', 'jugajangan', 'tunda', 'jangka', 'seller', 'penjual', 'butuh', 'uang', 'modal', 'pesanan', 'semoga', 'saran', 'langsung', 'rubah', 'aturannya', 'terima', 'kasih']"
barang blokir alasan,barang blokir alasan,barang blokir alasan,"['barang', 'blokir', 'alasan']","['barang', 'blokir', 'alasan']"
tolong akun ban alasan dana akun cairin mohon penjelasan membaned akun reseller terima kasih,tolong akun ban alasan dana akun cairin mohon penjelasan membaned akun reseller terima kasih,tolong akun ban alasan dana akun cairin mohon penjelasan membaned akun reseller terima kasih,"['tolong', 'akun', 'ban', 'alasan', 'dana', 'akun', 'cairin', 'mohon', 'penjelasan', 'membaned', 'akun', 'reseller', 'terima', 'kasih']","['akun', 'ban', 'alasan', 'dana', 'akun', 'cairin', 'mohon', 'penjelasan', 'membaned', 'akun', 'reseller', 'terima', 'kasih']"
buruk pelanggaran pelanggaran,buruk pelanggaran pelanggaran,buruk pelanggaran pelanggaran,"['buruk', 'pelanggaran', 'pelanggaran']","['buruk', 'pelanggaran', 'pelanggaran']"
pelanggaran masuk akalpoin pelanggaran hilang ilangni pelanggaran barumana sakligus poin lagitolong benahi sistemnya tiktoktrimakasih,pelanggaran masuk akalpoin pelanggaran hilang ilangni pelanggaran barumana sakligus poin lagitolong benahi sistemnya tiktoktrimakasih,pelanggaran masuk akalpoin pelanggaran hilang ilangni pelanggaran barumana sakligus poin lagitolong benahi sistemnya tiktoktrimakasih,"['pelanggaran', 'masuk', 'akalpoin', 'pelanggaran', 'hilang', 'ilangni', 'pelanggaran', 'barumana', 'sakligus', 'poin', 'lagitolong', 'benahi', 'sistemnya', 'tiktoktrimakasih']","['pelanggaran', 'masuk', 'akalpoin', 'pelanggaran', 'hilang', 'ilangni', 'pelanggaran', 'barumana', 'sakligus', 'poin', 'lagitolong', 'benahi', 'sistemnya', 'tiktoktrimakasih']"
aplikasi aneh pelanggarankirim email robot,aplikasi aneh pelanggarankirim email robot,aplikasi aneh pelanggarankirim email robot,"['aplikasi', 'aneh', 'pelanggarankirim', 'email', 'robot']","['aplikasi', 'aneh', 'pelanggarankirim', 'email', 'robot']"
ttshop ngerugiin seller kena pelanggaran jualan cari nafkah berbuat jahatdosa joget tebar aurat blokir tuh akun produk viralãâânya dibekukan mengikuti prsedur peraturankita merespon membantu sellerternyata menghilang angin dasarnya cocok marketplace cocoknya aplikasi menonton orangãââ joget makan tuh review jelek playstore,ttshop ngerugiin seller kena pelanggaran jualan cari nafkah berbuat jahatdosa joget tebar aurat blokir tuh akun produk viral nya dibekukan mengikuti prsedur peraturankita merespon membantu sellerternyata menghilang angin dasarnya cocok marketplace cocoknya aplikasi menonton orang joget makan tuh review jelek playstore,ttshop ngerugiin seller kena pelanggaran jualan cari nafkah berbuat jahatdosa joget tebar aurat blokir tuh akun produk viral nya dibekukan mengikuti prsedur peraturankita merespon membantu sellerternyata menghilang angin dasarnya cocok marketplace cocoknya aplikasi menonton orang joget makan tuh review jelek playstore,"['ttshop', 'ngerugiin', 'seller', 'kena', 'pelanggaran', 'jualan', 'cari', 'nafkah', 'berbuat', 'jahatdosa', 'joget', 'tebar', 'aurat', 'blokir', 'tuh', 'akun', 'produk', 'viral', 'nya', 'dibekukan', 'mengikuti', 'prsedur', 'peraturankita', 'merespon', 'membantu', 'sellerternyata', 'menghilang', 'angin', 'dasarnya', 'cocok', 'marketplace', 'cocoknya', 'aplikasi', 'menonton', 'orang', 'joget', 'makan', 'tuh', 'review', 'jelek', 'playstore']","['ttshop', 'ngerugiin', 'seller', 'kena', 'pelanggaran', 'jualan', 'cari', 'nafkah', 'berbuat', 'jahatdosa', 'joget', 'tebar', 'aurat', 'blokir', 'tuh', 'akun', 'produk', 'viral', 'nya', 'dibekukan', 'mengikuti', 'prsedur', 'peraturankita', 'merespon', 'membantu', 'sellerternyata', 'menghilang', 'angin', 'dasarnya', 'cocok', 'marketplace', 'cocoknya', 'aplikasi', 'menonton', 'orang', 'joget', 'makan', 'tuh', 'review', 'jelek', 'playstore']"
membantu,membantu,membantu,['membantu'],['membantu']
mantap jiwa,mantap jiwa,mantap jiwa,"['mantap', 'jiwa']","['mantap', 'jiwa']"
bagus,bagus,bagus,['bagus'],['bagus']
mantap,mantap,mantap,['mantap'],['mantap']
membantu memasarkan produk,membantu memasarkan produk,membantu memasarkan produk,"['membantu', 'memasarkan', 'produk']","['membantu', 'memasarkan', 'produk']"
bagus,bagus,bagus,['bagus'],['bagus']
mantap,mantap,mantap,['mantap'],['mantap']
puasss,puasss,puasss,['puasss'],['puasss']
membantu usaha umkm,membantu usaha umkm,membantu usaha umkm,"['membantu', 'usaha', 'umkm']","['membantu', 'usaha', 'umkm']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus top,bagus top,bagus top,"['bagus', 'top']","['bagus', 'top']"
mantap,mantap,mantap,['mantap'],['mantap']
terikasih sukses,terikasih sukses,terikasih sukses,"['terikasih', 'sukses']","['terikasih', 'sukses']"
bagus sih mempermudah jualan,bagus sih mempermudah jualan,bagus sih mempermudah jualan,"['bagus', 'sih', 'mempermudah', 'jualan']","['bagus', 'sih', 'mempermudah', 'jualan']"
puas beberap perbaikimisalnya perincian pesãƒâ nan,puas beberap perbaikimisalnya perincian pes nan,puas beberap perbaikimisalnya perincian pes nan,"['puas', 'beberap', 'perbaikimisalnya', 'perincian', 'pes', 'nan']","['puas', 'beberap', 'perbaikimisalnya', 'perincian', 'pes', 'nan']"
membantu masyarakat dunia bisnis,membantu masyarakat dunia bisnis,membantu masyarakat dunia bisnis,"['membantu', 'masyarakat', 'dunia', 'bisnis']","['membantu', 'masyarakat', 'dunia', 'bisnis']"
membantu bagus,membantu bagus,membantu bagus,"['membantu', 'bagus']","['membantu', 'bagus']"
apliksi bagus berguna,apliksi bagus berguna,apliksi bagus berguna,"['apliksi', 'bagus', 'berguna']","['apliksi', 'bagus', 'berguna']"
belanja berkesan,belanja berkesan,belanja berkesan,"['belanja', 'berkesan']","['belanja', 'berkesan']"
love tiktok shop,love tiktok shop,cinta tiktok shop,"['cinta', 'tiktok', 'shop']","['cinta', 'tiktok', 'shop']"
bagusssssss,bagusssssss,bagusssssss,['bagusssssss'],['bagusssssss']
terima kasih membantu ekonomian,terima kasih membantu ekonomian,terima kasih membantu ekonomian,"['terima', 'kasih', 'membantu', 'ekonomian']","['terima', 'kasih', 'membantu', 'ekonomian']"
mantap cuan,mantap cuan,mantap cuan,"['mantap', 'cuan']","['mantap', 'cuan']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
salam sehat,salam sehat,salam sehat,"['salam', 'sehat']","['salam', 'sehat']"
buka toko produk kena pelanggaran aplikasi,buka toko produk kena pelanggaran aplikasi,buka toko produk kena pelanggaran aplikasi,"['buka', 'toko', 'produk', 'kena', 'pelanggaran', 'aplikasi']","['buka', 'toko', 'produk', 'kena', 'pelanggaran', 'aplikasi']"
mantabbb,mantabbb,mantabbb,['mantabbb'],['mantabbb']
coba sebrafa bagus,coba sebrafa bagus,coba sebrafa bagus,"['coba', 'sebrafa', 'bagus']","['coba', 'sebrafa', 'bagus']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
good,good,good,['good'],['good']
membantu,membantu,membantu,['membantu'],['membantu']
good,good,good,['good'],['good']
membantu perekonomian,membantu perekonomian,membantu perekonomian,"['membantu', 'perekonomian']","['membantu', 'perekonomian']"
gaul admin kasih bintang,gaul admin kasih bintang,gaul admin kasih bintang,"['gaul', 'admin', 'kasih', 'bintang']","['gaul', 'admin', 'kasih', 'bintang']"
afiliasi membantu irt terima kasih ãåëœëœãåââ,afiliasi membantu irt terima kasih,afiliasi membantu irt terima kasih,"['afiliasi', 'membantu', 'irt', 'terima', 'kasih']","['afiliasi', 'membantu', 'irt', 'terima', 'kasih']"
top,top,top,['top'],['top']
membantu umkm,membantu umkm,membantu umkm,"['membantu', 'umkm']","['membantu', 'umkm']"
membantu,membantu,membantu,['membantu'],['membantu']
toko firal,toko firal,toko firal,"['toko', 'firal']","['toko', 'firal']"
mantap nih aplikasiãåââãåââãåââ,mantap nih aplikasi,mantap nih aplikasi,"['mantap', 'nih', 'aplikasi']","['mantap', 'nih', 'aplikasi']"
jos,jos,jos,['jos'],['jos']
mantap,mantap,mantap,['mantap'],['mantap']
bagus,bagus,bagus,['bagus'],['bagus']
sngat mmbntu pedagang mncari lngganan online,sngat mmbntu pedagang mncari lngganan online,sngat mmbntu pedagang mncari lngganan online,"['sngat', 'mmbntu', 'pedagang', 'mncari', 'lngganan', 'online']","['sngat', 'mmbntu', 'pedagang', 'mncari', 'lngganan', 'online']"
mantap,mantap,mantap,['mantap'],['mantap']
bagus mudah,bagus mudah,bagus mudah,"['bagus', 'mudah']","['bagus', 'mudah']"
mendaftar ubah nomor telepon keaulitan menarik danakarna nomor telpn masukkan mati,mendaftar ubah nomor telepon keaulitan menarik danakarna nomor telpn masukkan mati,mendaftar ubah nomor telepon keaulitan menarik danakarna nomor telpn masukkan mati,"['mendaftar', 'ubah', 'nomor', 'telepon', 'keaulitan', 'menarik', 'danakarna', 'nomor', 'telpn', 'masukkan', 'mati']","['mendaftar', 'ubah', 'nomor', 'telepon', 'keaulitan', 'menarik', 'danakarna', 'nomor', 'telpn', 'masukkan', 'mati']"
keren,keren,keren,['keren'],['keren']
mantap,mantap,mantap,['mantap'],['mantap']
penjualan bagus sistem retur barang bukti foto barang retur berhenti juta cbd palem pedagang ambil juta melebihi estimasi tugas agen juta mengirim penjual ujung ujungnya paket malingin cbd palem,penjualan bagus sistem retur barang bukti foto barang retur berhenti juta cbd palem pedagang ambil juta melebihi estimasi tugas agen juta mengirim penjual ujung ujungnya paket malingin cbd palem,penjualan bagus sistem retur barang bukti foto barang retur berhenti juta cbd palem pedagang ambil juta melebihi estimasi tugas agen juta mengirim penjual ujung ujungnya paket malingin cbd palem,"['penjualan', 'bagus', 'sistem', 'retur', 'barang', 'bukti', 'foto', 'barang', 'retur', 'berhenti', 'juta', 'cbd', 'palem', 'pedagang', 'ambil', 'juta', 'melebihi', 'estimasi', 'tugas', 'agen', 'juta', 'mengirim', 'penjual', 'ujung', 'ujungnya', 'paket', 'malingin', 'cbd', 'palem']","['penjualan', 'bagus', 'sistem', 'retur', 'barang', 'bukti', 'foto', 'barang', 'retur', 'berhenti', 'juta', 'cbd', 'palem', 'pedagang', 'ambil', 'juta', 'melebihi', 'estimasi', 'tugas', 'agen', 'juta', 'mengirim', 'penjual', 'ujung', 'ujungnya', 'paket', 'malingin', 'cbd', 'palem']"
membantu berjualan,membantu berjualan,membantu berjualan,"['membantu', 'berjualan']","['membantu', 'berjualan']"
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
bagus,bagus,bagus,['bagus'],['bagus']
good,good,good,['good'],['good']
ok,ok,oke,['oke'],['oke']
bagus,bagus,bagus,['bagus'],['bagus']
membantu,membantu,membantu,['membantu'],['membantu']
terkadang produk gagal aman alasan gagal deskripsi duh ribet deh,terkadang produk gagal aman alasan gagal deskripsi duh ribet deh,terkadang produk gagal aman alasan gagal deskripsi duh ribet deh,"['terkadang', 'produk', 'gagal', 'aman', 'alasan', 'gagal', 'deskripsi', 'duh', 'ribet', 'deh']","['terkadang', 'produk', 'gagal', 'aman', 'alasan', 'gagal', 'deskripsi', 'duh', 'ribet', 'deh']"
mantap,mantap,mantap,['mantap'],['mantap']
daftar ya,daftar ya,daftar ya,"['daftar', 'ya']",['daftar']
alhamdulillah membantu,alhamdulillah membantu,alhamdulillah membantu,"['alhamdulillah', 'membantu']","['alhamdulillah', 'membantu']"
bagus,bagus,bagus,['bagus'],['bagus']
simpel praktis aman,simpel praktis aman,simpel praktis aman,"['simpel', 'praktis', 'aman']","['simpel', 'praktis', 'aman']"
aplikasi membantu,aplikasi membantu,aplikasi membantu,"['aplikasi', 'membantu']","['aplikasi', 'membantu']"
mudah nyaman,mudah nyaman,mudah nyaman,"['mudah', 'nyaman']","['mudah', 'nyaman']"
bagus kreatif,bagus kreatif,bagus kreatif,"['bagus', 'kreatif']","['bagus', 'kreatif']"
mantap deh kage adik duenye,mantap deh kage adik duenye,mantap deh kage adik duenye,"['mantap', 'deh', 'kage', 'adik', 'duenye']","['mantap', 'deh', 'kage', 'adik', 'duenye']"
membantu,membantu,membantu,['membantu'],['membantu']
senang jualan tik tok,senang jualan tik tok,senang jualan tik tok,"['senang', 'jualan', 'tik', 'tok']","['senang', 'jualan', 'tik', 'tok']"
bagus,bagus,bagus,['bagus'],['bagus']
ok,ok,oke,['oke'],['oke']
keren,keren,keren,['keren'],['keren']
bagus terima kasih tiktok,bagus terima kasih tiktok,bagus terima kasih tiktok,"['bagus', 'terima', 'kasih', 'tiktok']","['bagus', 'terima', 'kasih', 'tiktok']"
mantap,mantap,mantap,['mantap'],['mantap']
bagus mempermudah seller mengontrol penjualan,bagus mempermudah seller mengontrol penjualan,bagus mempermudah seller mengontrol penjualan,"['bagus', 'mempermudah', 'seller', 'mengontrol', 'penjualan']","['bagus', 'mempermudah', 'seller', 'mengontrol', 'penjualan']"
membantu,membantu,membantu,['membantu'],['membantu']
mantap tiktok terima kasih,mantap tiktok terima kasih,mantap tiktok terima kasih,"['mantap', 'tiktok', 'terima', 'kasih']","['mantap', 'tiktok', 'terima', 'kasih']"
i love ya tik tok terima kasih membantu perekonomian,i love ya tik tok terima kasih membantu perekonomian,i cinta ya tik tok terima kasih membantu perekonomian,"['i', 'cinta', 'ya', 'tik', 'tok', 'terima', 'kasih', 'membantu', 'perekonomian']","['i', 'cinta', 'tik', 'tok', 'terima', 'kasih', 'membantu', 'perekonomian']"
puas,puas,puas,['puas'],['puas']
ãåëœâ,,,[],[]
super,super,super,['super'],['super']
bagus,bagus,bagus,['bagus'],['bagus']
bagus membantuãåââãåââãåââ,bagus membantu,bagus membantu,"['bagus', 'membantu']","['bagus', 'membantu']"
aplikasinya bagus,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']","['aplikasinya', 'bagus']"
berusaha,berusaha,berusaha,['berusaha'],['berusaha']
mantap,mantap,mantap,['mantap'],['mantap']
puas,puas,puas,['puas'],['puas']
nomor flatform the google play ãëåãëåãëå ilmu marketing paparan mudah mengerti ãåââãåââãåââãåââ,nomor flatform the google play ilmu marketing paparan mudah mengerti,nomor flatform the google play ilmu marketing paparan mudah mengerti,"['nomor', 'flatform', 'the', 'google', 'play', 'ilmu', 'marketing', 'paparan', 'mudah', 'mengerti']","['nomor', 'flatform', 'the', 'google', 'play', 'ilmu', 'marketing', 'paparan', 'mudah', 'mengerti']"
bagus,bagus,bagus,['bagus'],['bagus']
mantap,mantap,mantap,['mantap'],['mantap']
mantap,mantap,mantap,['mantap'],['mantap']
suka,suka,suka,['suka'],['suka']
ok puas,ok puas,oke puas,"['oke', 'puas']","['oke', 'puas']"
mantap sih,mantap sih,mantap sih,"['mantap', 'sih']","['mantap', 'sih']"
bagus,bagus,bagus,['bagus'],['bagus']
mantap bermanfaat,mantap bermanfaat,mantap bermanfaat,"['mantap', 'bermanfaat']","['mantap', 'bermanfaat']"
membantu perkembangan digital eta penjualan online,membantu perkembangan digital eta penjualan online,membantu perkembangan digital eta penjualan online,"['membantu', 'perkembangan', 'digital', 'eta', 'penjualan', 'online']","['membantu', 'perkembangan', 'digital', 'eta', 'penjualan', 'online']"
mantap,mantap,mantap,['mantap'],['mantap']
bagus,bagus,bagus,['bagus'],['bagus']
bagus live pengiku ttanks ya,bagus live pengiku ttanks ya,bagus live pengiku ttanks ya,"['bagus', 'live', 'pengiku', 'ttanks', 'ya']","['bagus', 'live', 'pengiku', 'ttanks']"
semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,"['semoga', 'bermanfaat']","['semoga', 'bermanfaat']"
bagus,bagus,bagus,['bagus'],['bagus']
